Entity,Code,Year,Wind capacity (total) (GW)
Afghanistan,AFG,2012,0.000100000005
Afghanistan,AFG,2013,0.000100000005
Afghanistan,AFG,2014,0.000100000005
Afghanistan,AFG,2015,0.000100000005
Afghanistan,AFG,2016,0.000100000005
Afghanistan,AFG,2017,0.00040000002
Afghanistan,AFG,2018,0.00040000002
Afghanistan,AFG,2019,0.00040000002
Afghanistan,AFG,2020,0.00040000002
Afghanistan,AFG,2021,0.00040000002
Afghanistan,AFG,2022,0.00040000002
Afghanistan,AFG,2023,0.00040000002
Africa,,2000,0.13905
Africa,,2001,0.13905
Africa,,2002,0.14431
Africa,,2003,0.15379001
Africa,,2004,0.23611
Africa,,2005,0.24018
Africa,,2006,0.327905
Africa,,2007,0.47010002
Africa,,2008,0.5553
Africa,,2009,0.74240005
Africa,,2010,0.86477697
Africa,,2011,0.994982
Africa,,2012,1.131994
Africa,,2013,1.7418339
Africa,,2014,2.3993979
Africa,,2015,3.3202682
Africa,,2016,3.831394
Africa,,2017,4.5782633
Africa,,2018,5.470653
Africa,,2019,5.527853
Africa,,2020,6.513753
Africa,,2021,6.908753
Africa,,2022,7.744853
Africa,,2023,8.653628
Algeria,DZA,2014,0.010199999
Algeria,DZA,2015,0.010199999
Algeria,DZA,2016,0.010199999
Algeria,DZA,2017,0.010199999
Algeria,DZA,2018,0.01
Algeria,DZA,2019,0.01
Algeria,DZA,2020,0.01
Algeria,DZA,2021,0.01
Algeria,DZA,2022,0.01
Algeria,DZA,2023,0.01
Argentina,ARG,2000,0.006543
Argentina,ARG,2001,0.000069
Argentina,ARG,2002,0.0027690001
Argentina,ARG,2003,0.000069
Argentina,ARG,2004,0.000069
Argentina,ARG,2005,0.000069
Argentina,ARG,2006,0.000069
Argentina,ARG,2007,0.000069
Argentina,ARG,2008,0.000071
Argentina,ARG,2009,0.00088
Argentina,ARG,2010,0.001134
Argentina,ARG,2011,0.007433
Argentina,ARG,2012,0.110033005
Argentina,ARG,2013,0.163032
Argentina,ARG,2014,0.18824
Argentina,ARG,2015,0.18824
Argentina,ARG,2016,0.18824
Argentina,ARG,2017,0.22755499
Argentina,ARG,2018,0.751155
Argentina,ARG,2019,1.6094551
Argentina,ARG,2020,2.624
Argentina,ARG,2021,3.2922199
Argentina,ARG,2022,3.31022
Argentina,ARG,2023,3.70632
Armenia,ARM,2005,0.00264
Armenia,ARM,2006,0.00264
Armenia,ARM,2007,0.00264
Armenia,ARM,2008,0.00264
Armenia,ARM,2009,0.00264
Armenia,ARM,2010,0.00264
Armenia,ARM,2011,0.00264
Armenia,ARM,2012,0.00264
Armenia,ARM,2013,0.00264
Armenia,ARM,2014,0.00264
Armenia,ARM,2015,0.0026
Armenia,ARM,2016,0.002925
Armenia,ARM,2017,0.002925
Armenia,ARM,2018,0.002925
Armenia,ARM,2019,0.002925
Armenia,ARM,2020,0.002925
Armenia,ARM,2021,0.002925
Armenia,ARM,2022,0.002925
Armenia,ARM,2023,0.0029000002
Aruba,ABW,2009,0.03
Aruba,ABW,2010,0.03
Aruba,ABW,2011,0.03
Aruba,ABW,2012,0.03
Aruba,ABW,2013,0.03
Aruba,ABW,2014,0.03
Aruba,ABW,2015,0.03
Aruba,ABW,2016,0.03
Aruba,ABW,2017,0.03
Aruba,ABW,2018,0.03
Aruba,ABW,2019,0.03
Aruba,ABW,2020,0.03
Aruba,ABW,2021,0.03
Aruba,ABW,2022,0.03
Aruba,ABW,2023,0.03
Asia,,2000,1.410005
Asia,,2001,2.171412
Asia,,2002,2.3949518
Asia,,2003,3.58896
Asia,,2004,5.43746
Asia,,2005,6.9485
Asia,,2006,10.623893
Asia,,2007,14.211563
Asia,,2008,21.427572
Asia,,2009,32.20523
Asia,,2010,47.511944
Asia,,2011,67.86741
Asia,,2012,85.19065
Asia,,2013,102.42973
Asia,,2014,128.13693
Asia,,2015,166.60504
Asia,,2016,190.34308
Asia,,2017,212.06569
Asia,,2018,236.81203
Asia,,2019,266.13647
Asia,,2020,341.7977
Asia,,2021,396.49313
Asia,,2022,439.38123
Asia,,2023,522.11017
Australia,AUS,2000,0.033
Australia,AUS,2001,0.076
Australia,AUS,2002,0.106
Australia,AUS,2003,0.19
Australia,AUS,2004,0.379
Australia,AUS,2005,0.74
Australia,AUS,2006,0.819
Australia,AUS,2007,1.249
Australia,AUS,2008,1.441
Australia,AUS,2009,1.703
Australia,AUS,2010,1.864
Australia,AUS,2011,2.127
Australia,AUS,2012,2.561
Australia,AUS,2013,3.221
Australia,AUS,2014,3.797
Australia,AUS,2015,4.181
Australia,AUS,2016,4.324
Australia,AUS,2017,5.407
Australia,AUS,2018,6.409
Australia,AUS,2019,7.881
Australia,AUS,2020,10.207
Australia,AUS,2021,10.555
Australia,AUS,2022,10.555
Australia,AUS,2023,11.327
Austria,AUT,2000,0.05
Austria,AUT,2001,0.067
Austria,AUT,2002,0.109
Austria,AUT,2003,0.322
Austria,AUT,2004,0.581
Austria,AUT,2005,0.825219
Austria,AUT,2006,0.968269
Austria,AUT,2007,0.991159
Austria,AUT,2008,0.991974
Austria,AUT,2009,1.000985
Austria,AUT,2010,1.015828
Austria,AUT,2011,1.105966
Austria,AUT,2012,1.33715
Austria,AUT,2013,1.674538
Austria,AUT,2014,2.1102748
Austria,AUT,2015,2.4887261
Austria,AUT,2016,2.7299962
Austria,AUT,2017,2.886698
Austria,AUT,2018,3.1327128
Austria,AUT,2019,3.224117
Austria,AUT,2020,3.225979
Austria,AUT,2021,3.407811
Austria,AUT,2022,3.579236
Austria,AUT,2023,3.977236
Azerbaijan,AZE,2009,0.002
Azerbaijan,AZE,2010,0.002
Azerbaijan,AZE,2011,0.002
Azerbaijan,AZE,2012,0.002
Azerbaijan,AZE,2013,0.0027
Azerbaijan,AZE,2014,0.0027
Azerbaijan,AZE,2015,0.008
Azerbaijan,AZE,2016,0.0157
Azerbaijan,AZE,2017,0.0157
Azerbaijan,AZE,2018,0.066
Azerbaijan,AZE,2019,0.066
Azerbaijan,AZE,2020,0.066
Azerbaijan,AZE,2021,0.066
Azerbaijan,AZE,2022,0.064
Azerbaijan,AZE,2023,0.0665
Bahamas,BHS,2011,0.0003
Bahamas,BHS,2012,0.0003
Bahamas,BHS,2013,0.0003
Bahamas,BHS,2014,0.0003
Bahamas,BHS,2015,0.0003
Bahamas,BHS,2016,0.0003
Bahamas,BHS,2017,0.0003
Bahamas,BHS,2018,0.0003
Bahamas,BHS,2019,0.0003
Bahamas,BHS,2020,0.0003
Bahamas,BHS,2021,0.0003
Bahamas,BHS,2022,0.0003
Bahamas,BHS,2023,0.0003
Bahrain,BHR,2008,0.000675
Bahrain,BHR,2009,0.000675
Bahrain,BHR,2010,0.000675
Bahrain,BHR,2011,0.000675
Bahrain,BHR,2012,0.000675
Bahrain,BHR,2013,0.000675
Bahrain,BHR,2014,0.000675
Bahrain,BHR,2015,0.000675
Bahrain,BHR,2016,0.000675
Bahrain,BHR,2017,0.000675
Bahrain,BHR,2018,0.000675
Bahrain,BHR,2019,0.000675
Bahrain,BHR,2020,0.000675
Bahrain,BHR,2021,0.000675
Bahrain,BHR,2022,0.0026749999
Bahrain,BHR,2023,0.0026749999
Bangladesh,BGD,2006,0.0009
Bangladesh,BGD,2007,0.0009
Bangladesh,BGD,2008,0.0019
Bangladesh,BGD,2009,0.0019
Bangladesh,BGD,2010,0.0019
Bangladesh,BGD,2011,0.0019
Bangladesh,BGD,2012,0.0019
Bangladesh,BGD,2013,0.0019
Bangladesh,BGD,2014,0.0019
Bangladesh,BGD,2015,0.0029000002
Bangladesh,BGD,2016,0.0029000002
Bangladesh,BGD,2017,0.0029000002
Bangladesh,BGD,2018,0.0029000002
Bangladesh,BGD,2019,0.0029000002
Bangladesh,BGD,2020,0.0029000002
Bangladesh,BGD,2021,0.0029000002
Bangladesh,BGD,2022,0.0029000002
Bangladesh,BGD,2023,0.0029000002
Barbados,BRB,2000,0.00004
Barbados,BRB,2001,0.00004
Barbados,BRB,2002,0.00004
Barbados,BRB,2003,0.00004
Barbados,BRB,2004,0.00004
Barbados,BRB,2005,0.00004
Barbados,BRB,2006,0.00004
Barbados,BRB,2007,0.00004
Barbados,BRB,2008,0.00004
Barbados,BRB,2009,0.00004
Barbados,BRB,2010,0.00004
Barbados,BRB,2011,0.00004
Barbados,BRB,2012,0.00004
Barbados,BRB,2013,0.00004
Barbados,BRB,2014,0.00004
Barbados,BRB,2015,0.00004
Barbados,BRB,2016,0.00006
Barbados,BRB,2017,0.00006
Barbados,BRB,2018,0.00006
Barbados,BRB,2019,0.00006
Barbados,BRB,2020,0.00006
Barbados,BRB,2021,0.00006
Barbados,BRB,2022,0.00116
Barbados,BRB,2023,0.00116
Belarus,BLR,2000,0.00025
Belarus,BLR,2001,0.0006
Belarus,BLR,2002,0.0011
Belarus,BLR,2003,0.0011
Belarus,BLR,2004,0.0011
Belarus,BLR,2005,0.0011
Belarus,BLR,2006,0.0011
Belarus,BLR,2007,0.0019
Belarus,BLR,2008,0.0019
Belarus,BLR,2009,0.0019
Belarus,BLR,2010,0.0019
Belarus,BLR,2011,0.002
Belarus,BLR,2012,0.005
Belarus,BLR,2013,0.007
Belarus,BLR,2014,0.009
Belarus,BLR,2015,0.022
Belarus,BLR,2016,0.062
Belarus,BLR,2017,0.084
Belarus,BLR,2018,0.092
Belarus,BLR,2019,0.112
Belarus,BLR,2020,0.112
Belarus,BLR,2021,0.1117
Belarus,BLR,2022,0.12
Belarus,BLR,2023,0.122
Belgium,BEL,2000,0.014
Belgium,BEL,2001,0.026
Belgium,BEL,2002,0.031
Belgium,BEL,2003,0.067
Belgium,BEL,2004,0.096
Belgium,BEL,2005,0.167
Belgium,BEL,2006,0.212
Belgium,BEL,2007,0.276
Belgium,BEL,2008,0.324
Belgium,BEL,2009,0.608
Belgium,BEL,2010,0.912
Belgium,BEL,2011,1.069
Belgium,BEL,2012,1.3669
Belgium,BEL,2013,1.769
Belgium,BEL,2014,1.9326999
Belgium,BEL,2015,2.1813002
Belgium,BEL,2016,2.3338
Belgium,BEL,2017,2.7793999
Belgium,BEL,2018,3.3049
Belgium,BEL,2019,3.8635
Belgium,BEL,2020,4.6727004
Belgium,BEL,2021,4.9484005
Belgium,BEL,2022,5.3034005
Belgium,BEL,2023,5.5035496
Belize,BLZ,2000,0.00002
Belize,BLZ,2001,0.00002
Belize,BLZ,2002,0.00002
Belize,BLZ,2003,0.00002
Belize,BLZ,2004,0.00002
Belize,BLZ,2005,0.00002
Belize,BLZ,2006,0.00002
Belize,BLZ,2007,0.00002
Belize,BLZ,2008,0.00002
Belize,BLZ,2009,0.00002
Belize,BLZ,2010,0.00002
Belize,BLZ,2011,0.00002
Belize,BLZ,2012,0.00002
Belize,BLZ,2013,0.00002
Belize,BLZ,2014,0.00002
Belize,BLZ,2015,0.00002
Belize,BLZ,2016,0.00002
Belize,BLZ,2017,0.00002
Belize,BLZ,2018,0.00002
Belize,BLZ,2019,0.00002
Belize,BLZ,2020,0.00002
Belize,BLZ,2021,0.00002
Belize,BLZ,2022,0.00002
Belize,BLZ,2023,0.00002
Bhutan,BTN,2015,0.0006
Bhutan,BTN,2016,0.0006
Bhutan,BTN,2017,0.0006
Bhutan,BTN,2018,0.0006
Bhutan,BTN,2019,0.0006
Bhutan,BTN,2020,0.0006
Bhutan,BTN,2021,0.0006
Bhutan,BTN,2022,0.0006
Bhutan,BTN,2023,0.0006
Bolivia,BOL,2010,0.000100000005
Bolivia,BOL,2011,0.000100000005
Bolivia,BOL,2012,0.000100000005
Bolivia,BOL,2014,0.003
Bolivia,BOL,2015,0.003
Bolivia,BOL,2016,0.027
Bolivia,BOL,2017,0.027
Bolivia,BOL,2018,0.027
Bolivia,BOL,2019,0.027
Bolivia,BOL,2020,0.027
Bolivia,BOL,2021,0.1278
Bolivia,BOL,2022,0.1278
Bolivia,BOL,2023,0.135
Bonaire Sint Eustatius and Saba,BES,2007,0.00033
Bonaire Sint Eustatius and Saba,BES,2008,0.00033
Bonaire Sint Eustatius and Saba,BES,2009,0.010229999
Bonaire Sint Eustatius and Saba,BES,2010,0.010229999
Bonaire Sint Eustatius and Saba,BES,2011,0.010229999
Bonaire Sint Eustatius and Saba,BES,2012,0.010229999
Bonaire Sint Eustatius and Saba,BES,2013,0.01113
Bonaire Sint Eustatius and Saba,BES,2014,0.01113
Bonaire Sint Eustatius and Saba,BES,2015,0.01113
Bonaire Sint Eustatius and Saba,BES,2016,0.01113
Bonaire Sint Eustatius and Saba,BES,2017,0.01113
Bonaire Sint Eustatius and Saba,BES,2018,0.01113
Bonaire Sint Eustatius and Saba,BES,2019,0.01113
Bonaire Sint Eustatius and Saba,BES,2020,0.01113
Bonaire Sint Eustatius and Saba,BES,2021,0.01113
Bonaire Sint Eustatius and Saba,BES,2022,0.01113
Bonaire Sint Eustatius and Saba,BES,2023,0.01113
Bosnia and Herzegovina,BIH,2011,0.0003
Bosnia and Herzegovina,BIH,2012,0.0003
Bosnia and Herzegovina,BIH,2013,0.0003
Bosnia and Herzegovina,BIH,2014,0.0003
Bosnia and Herzegovina,BIH,2015,0.0003
Bosnia and Herzegovina,BIH,2016,0.0003
Bosnia and Herzegovina,BIH,2017,0.0003
Bosnia and Herzegovina,BIH,2018,0.051
Bosnia and Herzegovina,BIH,2019,0.087
Bosnia and Herzegovina,BIH,2020,0.087
Bosnia and Herzegovina,BIH,2021,0.135
Bosnia and Herzegovina,BIH,2022,0.135
Bosnia and Herzegovina,BIH,2023,0.135
Brazil,BRA,2000,0.022
Brazil,BRA,2001,0.024
Brazil,BRA,2002,0.022
Brazil,BRA,2003,0.024
Brazil,BRA,2004,0.024
Brazil,BRA,2005,0.029
Brazil,BRA,2006,0.237
Brazil,BRA,2007,0.247
Brazil,BRA,2008,0.398
Brazil,BRA,2009,0.602
Brazil,BRA,2010,0.927
Brazil,BRA,2011,1.426
Brazil,BRA,2012,1.894
Brazil,BRA,2013,2.20202
Brazil,BRA,2014,4.8880534
Brazil,BRA,2015,7.633112
Brazil,BRA,2016,10.129125
Brazil,BRA,2017,12.304243
Brazil,BRA,2018,14.843077
Brazil,BRA,2019,15.438379
Brazil,BRA,2020,17.19831
Brazil,BRA,2021,21.161346
Brazil,BRA,2022,24.16314
Brazil,BRA,2023,29.13512
British Virgin Islands,VGB,2010,0.0005
British Virgin Islands,VGB,2011,0.0005
British Virgin Islands,VGB,2012,0.0005
British Virgin Islands,VGB,2013,0.0005
British Virgin Islands,VGB,2014,0.0005
British Virgin Islands,VGB,2015,0.0005
British Virgin Islands,VGB,2016,0.0005
British Virgin Islands,VGB,2017,0.0005
British Virgin Islands,VGB,2018,0.0005
British Virgin Islands,VGB,2019,0.000801
British Virgin Islands,VGB,2020,0.000801
British Virgin Islands,VGB,2021,0.000801
British Virgin Islands,VGB,2022,0.000801
British Virgin Islands,VGB,2023,0.000801
Bulgaria,BGR,2004,0.001
Bulgaria,BGR,2005,0.008
Bulgaria,BGR,2006,0.027
Bulgaria,BGR,2007,0.03
Bulgaria,BGR,2008,0.114
Bulgaria,BGR,2009,0.333
Bulgaria,BGR,2010,0.488
Bulgaria,BGR,2011,0.541
Bulgaria,BGR,2012,0.677
Bulgaria,BGR,2013,0.683
Bulgaria,BGR,2014,0.699
Bulgaria,BGR,2015,0.699
Bulgaria,BGR,2016,0.699
Bulgaria,BGR,2017,0.69839
Bulgaria,BGR,2018,0.69892
Bulgaria,BGR,2019,0.70312
Bulgaria,BGR,2020,0.7028
Bulgaria,BGR,2021,0.704375
Bulgaria,BGR,2022,0.702085
Bulgaria,BGR,2023,0.702085
Cambodia,KHM,2009,0.00025
Cambodia,KHM,2010,0.00025
Cambodia,KHM,2011,0.00025
Cambodia,KHM,2012,0.00025
Cambodia,KHM,2013,0.00025
Cambodia,KHM,2014,0.00025
Cambodia,KHM,2015,0.00025
Cambodia,KHM,2016,0.00025
Cambodia,KHM,2017,0.00025
Cambodia,KHM,2018,0.00025
Cambodia,KHM,2019,0.00025
Cambodia,KHM,2020,0.00025
Cambodia,KHM,2021,0.00025
Cambodia,KHM,2022,0.00025
Cambodia,KHM,2023,0.00025
Canada,CAN,2000,0.092
Canada,CAN,2001,0.131
Canada,CAN,2002,0.161
Canada,CAN,2003,0.327
Canada,CAN,2004,0.444
Canada,CAN,2005,0.677
Canada,CAN,2006,1.423
Canada,CAN,2007,1.84
Canada,CAN,2008,2.336
Canada,CAN,2009,3.282
Canada,CAN,2010,3.967
Canada,CAN,2011,5.265
Canada,CAN,2012,6.201
Canada,CAN,2013,7.801
Canada,CAN,2014,9.694
Canada,CAN,2015,11.214
Canada,CAN,2016,11.973
Canada,CAN,2017,12.25
Canada,CAN,2018,12.816
Canada,CAN,2019,13.22
Canada,CAN,2020,13.735477
Canada,CAN,2021,14.259078
Canada,CAN,2022,15.264977
Canada,CAN,2023,16.989418
Cape Verde,CPV,2002,0.0021
Cape Verde,CPV,2003,0.0026800002
Cape Verde,CPV,2004,0.0024
Cape Verde,CPV,2005,0.0024
Cape Verde,CPV,2006,0.0021
Cape Verde,CPV,2007,0.0021
Cape Verde,CPV,2008,0.0021
Cape Verde,CPV,2009,0.0021
Cape Verde,CPV,2010,0.0018
Cape Verde,CPV,2011,0.017
Cape Verde,CPV,2012,0.0272
Cape Verde,CPV,2013,0.0272
Cape Verde,CPV,2014,0.0272
Cape Verde,CPV,2015,0.0272
Cape Verde,CPV,2016,0.0272
Cape Verde,CPV,2017,0.0272
Cape Verde,CPV,2018,0.026899999
Cape Verde,CPV,2019,0.026899999
Cape Verde,CPV,2020,0.026899999
Cape Verde,CPV,2021,0.026899999
Cape Verde,CPV,2022,0.026899999
Cape Verde,CPV,2023,0.0268
Cayman Islands,CYM,2018,0.00080000004
Cayman Islands,CYM,2019,0.00080000004
Cayman Islands,CYM,2020,0.00080000004
Cayman Islands,CYM,2021,0.00080000004
Cayman Islands,CYM,2022,0.00080000004
Cayman Islands,CYM,2023,0.00080000004
Chad,TCD,2016,0.0011
Chad,TCD,2017,0.0011
Chad,TCD,2018,0.0011
Chad,TCD,2019,0.0011
Chad,TCD,2020,0.0011
Chad,TCD,2021,0.0011
Chad,TCD,2022,0.0011
Chad,TCD,2023,0.0011
Chile,CHL,2001,0.002
Chile,CHL,2002,0.002
Chile,CHL,2003,0.002
Chile,CHL,2004,0.002
Chile,CHL,2005,0.002
Chile,CHL,2006,0.002
Chile,CHL,2007,0.02
Chile,CHL,2008,0.02
Chile,CHL,2009,0.163
Chile,CHL,2010,0.163
Chile,CHL,2011,0.184
Chile,CHL,2012,0.202
Chile,CHL,2013,0.294702
Chile,CHL,2014,0.73193103
Chile,CHL,2015,0.906898
Chile,CHL,2016,1.034198
Chile,CHL,2017,1.305448
Chile,CHL,2018,1.5238299
Chile,CHL,2019,1.620074
Chile,CHL,2020,2.340396
Chile,CHL,2021,3.137006
Chile,CHL,2022,3.829679
Chile,CHL,2023,4.510214
China,CHN,2000,0.341
China,CHN,2001,0.383
China,CHN,2002,0.449
China,CHN,2003,0.547
China,CHN,2004,0.763
China,CHN,2005,1.06
China,CHN,2006,2.07
China,CHN,2007,4.2
China,CHN,2008,8.387728
China,CHN,2009,17.59941
China,CHN,2010,29.633478
China,CHN,2011,46.354603
China,CHN,2012,61.596874
China,CHN,2013,76.73053
China,CHN,2014,96.81913
China,CHN,2015,131.04773
China,CHN,2016,148.51689
China,CHN,2017,164.37448
China,CHN,2018,184.66489
China,CHN,2019,209.58191
China,CHN,2020,281.99265
China,CHN,2021,328.97345
China,CHN,2022,365.96417
China,CHN,2023,441.89493
Colombia,COL,2004,0.02
Colombia,COL,2005,0.01
Colombia,COL,2006,0.01842
Colombia,COL,2007,0.01842
Colombia,COL,2008,0.01842
Colombia,COL,2009,0.01842
Colombia,COL,2010,0.01842
Colombia,COL,2011,0.01842
Colombia,COL,2012,0.01842
Colombia,COL,2013,0.01842
Colombia,COL,2014,0.01842
Colombia,COL,2015,0.01842
Colombia,COL,2016,0.01842
Colombia,COL,2017,0.01842
Colombia,COL,2018,0.01842
Colombia,COL,2019,0.01842
Colombia,COL,2020,0.01842
Colombia,COL,2021,0.01842
Colombia,COL,2022,0.01842
Colombia,COL,2023,0.01842
Cook Islands,COK,2003,0.00004
Cook Islands,COK,2004,0.00004
Cook Islands,COK,2005,0.00004
Cook Islands,COK,2006,0.00004
Cook Islands,COK,2007,0.00004
Costa Rica,CRI,2000,0.04245
Costa Rica,CRI,2001,0.06225
Costa Rica,CRI,2002,0.06225
Costa Rica,CRI,2003,0.068550006
Costa Rica,CRI,2004,0.068550006
Costa Rica,CRI,2005,0.068550006
Costa Rica,CRI,2006,0.068550006
Costa Rica,CRI,2007,0.069919996
Costa Rica,CRI,2008,0.069919996
Costa Rica,CRI,2009,0.119625
Costa Rica,CRI,2010,0.119625
Costa Rica,CRI,2011,0.132785
Costa Rica,CRI,2012,0.14808501
Costa Rica,CRI,2013,0.14808501
Costa Rica,CRI,2014,0.196465
Costa Rica,CRI,2015,0.278145
Costa Rica,CRI,2016,0.319145
Costa Rica,CRI,2017,0.37782502
Costa Rica,CRI,2018,0.40777498
Costa Rica,CRI,2019,0.41092002
Costa Rica,CRI,2020,0.39352
Costa Rica,CRI,2021,0.39022
Costa Rica,CRI,2022,0.39022
Costa Rica,CRI,2023,0.40761998
Croatia,HRV,2004,0.006
Croatia,HRV,2005,0.006
Croatia,HRV,2006,0.017
Croatia,HRV,2007,0.017
Croatia,HRV,2008,0.017
Croatia,HRV,2009,0.07
Croatia,HRV,2010,0.079
Croatia,HRV,2011,0.13
Croatia,HRV,2012,0.18
Croatia,HRV,2013,0.254
Croatia,HRV,2014,0.339
Croatia,HRV,2015,0.418
Croatia,HRV,2016,0.483
Croatia,HRV,2017,0.5761
Croatia,HRV,2018,0.5863
Croatia,HRV,2019,0.64629996
Croatia,HRV,2020,0.8013
Croatia,HRV,2021,0.98690003
Croatia,HRV,2022,0.98690003
Croatia,HRV,2023,1.1429
Cuba,CUB,2000,0.0005
Cuba,CUB,2001,0.0005
Cuba,CUB,2002,0.0005
Cuba,CUB,2003,0.0005
Cuba,CUB,2004,0.0005
Cuba,CUB,2005,0.0043
Cuba,CUB,2006,0.0043
Cuba,CUB,2007,0.0059499997
Cuba,CUB,2008,0.01105
Cuba,CUB,2009,0.01105
Cuba,CUB,2010,0.015550001
Cuba,CUB,2011,0.015550001
Cuba,CUB,2012,0.015550001
Cuba,CUB,2013,0.015550001
Cuba,CUB,2014,0.015550001
Cuba,CUB,2015,0.06555
Cuba,CUB,2016,0.06555
Cuba,CUB,2017,0.06555
Cuba,CUB,2018,0.06555
Cuba,CUB,2019,0.066
Cuba,CUB,2020,0.066
Cuba,CUB,2021,0.066
Cuba,CUB,2022,0.066
Cuba,CUB,2023,0.066
Curacao,CUW,2000,0.012
Curacao,CUW,2001,0.012
Curacao,CUW,2002,0.012
Curacao,CUW,2003,0.012
Curacao,CUW,2004,0.012
Curacao,CUW,2005,0.012
Curacao,CUW,2006,0.012
Curacao,CUW,2007,0.012
Curacao,CUW,2008,0.012
Curacao,CUW,2009,0.012
Curacao,CUW,2010,0.012
Curacao,CUW,2011,0.012
Curacao,CUW,2012,0.03
Curacao,CUW,2013,0.03
Curacao,CUW,2014,0.03
Curacao,CUW,2015,0.03
Curacao,CUW,2016,0.03
Curacao,CUW,2017,0.0465
Curacao,CUW,2018,0.0465
Curacao,CUW,2019,0.0465
Curacao,CUW,2020,0.0465
Curacao,CUW,2021,0.0465
Curacao,CUW,2022,0.0465
Curacao,CUW,2023,0.0465
Cyprus,CYP,2004,0.000225
Cyprus,CYP,2005,0.000225
Cyprus,CYP,2006,0.000225
Cyprus,CYP,2007,0.000225
Cyprus,CYP,2008,0.000225
Cyprus,CYP,2009,0.000225
Cyprus,CYP,2010,0.082224995
Cyprus,CYP,2011,0.13422501
Cyprus,CYP,2012,0.147225
Cyprus,CYP,2013,0.147225
Cyprus,CYP,2014,0.147225
Cyprus,CYP,2015,0.157725
Cyprus,CYP,2016,0.157725
Cyprus,CYP,2017,0.157725
Cyprus,CYP,2018,0.157725
Cyprus,CYP,2019,0.157725
Cyprus,CYP,2020,0.157725
Cyprus,CYP,2021,0.1575
Cyprus,CYP,2022,0.1575
Cyprus,CYP,2023,0.158
Czechia,CZE,2000,0.002
Czechia,CZE,2002,0.0064000003
Czechia,CZE,2003,0.010600001
Czechia,CZE,2004,0.0165
Czechia,CZE,2005,0.022
Czechia,CZE,2006,0.0435
Czechia,CZE,2007,0.113800004
Czechia,CZE,2008,0.15
Czechia,CZE,2009,0.193
Czechia,CZE,2010,0.213
Czechia,CZE,2011,0.213
Czechia,CZE,2012,0.258
Czechia,CZE,2013,0.262
Czechia,CZE,2014,0.278
Czechia,CZE,2015,0.281
Czechia,CZE,2016,0.282
Czechia,CZE,2017,0.30820498
Czechia,CZE,2018,0.31620002
Czechia,CZE,2019,0.339414
Czechia,CZE,2020,0.339424
Czechia,CZE,2021,0.339414
Czechia,CZE,2022,0.339095
Czechia,CZE,2023,0.343395
Denmark,DNK,2000,2.390015
Denmark,DNK,2001,2.4971528
Denmark,DNK,2002,2.894531
Denmark,DNK,2003,3.119916
Denmark,DNK,2004,3.123712
Denmark,DNK,2005,3.1278362
Denmark,DNK,2006,3.135696
Denmark,DNK,2007,3.1242142
Denmark,DNK,2008,3.1628702
Denmark,DNK,2009,3.482087
Denmark,DNK,2010,3.801829
Denmark,DNK,2011,3.951981
Denmark,DNK,2012,4.161941
Denmark,DNK,2013,4.818923
Denmark,DNK,2014,4.886403
Denmark,DNK,2015,5.076966
Denmark,DNK,2016,5.245142
Denmark,DNK,2017,5.4889493
Denmark,DNK,2018,6.12266
Denmark,DNK,2019,6.110543
Denmark,DNK,2020,6.2585373
Denmark,DNK,2021,7.003948
Denmark,DNK,2022,7.0838184
Denmark,DNK,2023,7.481818
Djibouti,DJI,2021,0.02
Djibouti,DJI,2022,0.02
Djibouti,DJI,2023,0.08
Dominica,DMA,2008,0.00001
Dominica,DMA,2009,0.00001
Dominica,DMA,2010,0.00024000001
Dominica,DMA,2011,0.00024000001
Dominica,DMA,2012,0.00024000001
Dominica,DMA,2013,0.00024000001
Dominica,DMA,2014,0.00024000001
Dominica,DMA,2015,0.00024000001
Dominica,DMA,2016,0.00024000001
Dominica,DMA,2017,0.00024000001
Dominica,DMA,2018,0.00024000001
Dominica,DMA,2019,0.00024000001
Dominica,DMA,2020,0.00024000001
Dominica,DMA,2021,0.00024000001
Dominica,DMA,2022,0.00024000001
Dominica,DMA,2023,0.00024000001
Dominican Republic,DOM,2011,0.0335
Dominican Republic,DOM,2012,0.0873
Dominican Republic,DOM,2013,0.0855
Dominican Republic,DOM,2014,0.0795
Dominican Republic,DOM,2015,0.0855
